epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
70,41.8555,0.68341,0.9825,0.9861,0.99303,1,0.995,0.88506,0.61114,0.98889,0.91757,0.0006338,0.0006338,0.0006338
71,42.3916,0.65828,0.95793,1.02853,0.99303,1,0.995,0.88506,0.61114,0.98889,0.91757,0.000614,0.000614,0.000614
72,42.9599,0.70557,0.95725,0.98729,0.99292,1,0.995,0.87848,0.54327,0.99911,0.89885,0.0005942,0.0005942,0.0005942
73,43.4535,0.95559,1.13535,1.14492,0.99292,1,0.995,0.87848,0.54327,0.99911,0.89885,0.0005744,0.0005744,0.0005744
74,43.9695,0.65997,0.78163,0.93763,0.99383,1,0.995,0.89679,0.52496,0.92955,0.89538,0.0005546,0.0005546,0.0005546
75,44.4623,0.63693,0.90423,0.89485,0.99383,1,0.995,0.89679,0.52496,0.92955,0.89538,0.0005348,0.0005348,0.0005348
76,45.0128,0.64041,0.88445,0.93974,0.99405,1,0.995,0.8442,0.61683,0.9006,0.91908,0.000515,0.000515,0.000515
77,45.5221,0.67368,0.89863,0.98569,0.99405,1,0.995,0.8442,0.61683,0.9006,0.91908,0.0004952,0.0004952,0.0004952
78,46.0465,0.51622,0.80479,0.89469,0.99416,1,0.995,0.85259,0.6401,0.82142,0.92927,0.0004754,0.0004754,0.0004754
79,46.5535,0.61514,0.82101,0.91301,0.99416,1,0.995,0.85259,0.6401,0.82142,0.92927,0.0004556,0.0004556,0.0004556
80,47.0853,0.78561,0.97801,0.95899,0.99414,1,0.995,0.79685,0.75581,0.85262,0.96454,0.0004358,0.0004358,0.0004358
81,47.5945,0.60357,0.78656,0.90592,0.99414,1,0.995,0.79685,0.75581,0.85262,0.96454,0.000416,0.000416,0.000416
82,48.1326,0.74729,0.94637,0.93691,0.9942,1,0.995,0.77516,0.89443,0.86815,1.00389,0.0003962,0.0003962,0.0003962
83,48.6366,0.72873,0.90419,0.94873,0.9942,1,0.995,0.77516,0.89443,0.86815,1.00389,0.0003764,0.0003764,0.0003764
84,49.1876,0.75421,0.85644,0.9837,0.99414,1,0.995,0.7513,0.92851,0.84235,1.01239,0.0003566,0.0003566,0.0003566
85,49.6964,0.73208,0.82174,0.93975,0.99414,1,0.995,0.7513,0.92851,0.84235,1.01239,0.0003368,0.0003368,0.0003368
86,50.2326,0.44814,0.78062,0.86095,0.99418,1,0.995,0.78158,0.85387,0.78471,0.99018,0.000317,0.000317,0.000317
87,50.7586,0.51405,0.74144,0.86181,0.99418,1,0.995,0.78158,0.85387,0.78471,0.99018,0.0002972,0.0002972,0.0002972
88,51.3008,0.56889,0.85884,0.93577,0.99403,1,0.995,0.83901,0.71333,0.7459,0.95347,0.0002774,0.0002774,0.0002774
89,51.8387,0.55053,0.83297,0.95607,0.99403,1,0.995,0.83901,0.71333,0.7459,0.95347,0.0002576,0.0002576,0.0002576
90,52.3923,0.55556,0.87601,0.89937,0.99389,1,0.995,0.89716,0.56868,0.74692,0.91708,0.0002378,0.0002378,0.0002378
91,54.8427,0.5517,1.02159,0.8279,0.99389,1,0.995,0.89716,0.56868,0.74692,0.91708,0.000218,0.000218,0.000218
92,55.5503,0.51126,0.92442,0.86309,0.99387,1,0.995,0.91437,0.44895,0.79675,0.88809,0.0001982,0.0001982,0.0001982
93,56.0763,0.41273,0.9263,0.80555,0.99387,1,0.995,0.91437,0.44895,0.79675,0.88809,0.0001784,0.0001784,0.0001784
94,56.6263,0.47668,0.98557,0.82132,0.99377,1,0.995,0.91647,0.41329,0.8244,0.879,0.0001586,0.0001586,0.0001586
95,57.1569,0.36164,0.91367,0.80236,0.99377,1,0.995,0.91647,0.41329,0.8244,0.879,0.0001388,0.0001388,0.0001388
96,57.7434,0.44595,0.925,0.83137,0.99386,1,0.995,0.9107,0.39631,0.88125,0.87493,0.000119,0.000119,0.000119
97,58.2726,0.42919,0.93689,0.85917,0.99386,1,0.995,0.9107,0.39631,0.88125,0.87493,9.92e-05,9.92e-05,9.92e-05
98,58.8497,0.37126,0.93578,0.81752,0.99372,1,0.995,0.92171,0.37599,0.89563,0.87254,7.94e-05,7.94e-05,7.94e-05
99,59.4051,0.39743,0.91411,0.79977,0.99372,1,0.995,0.92171,0.37599,0.89563,0.87254,5.96e-05,5.96e-05,5.96e-05
100,60.0016,0.3994,0.92671,0.72489,0.99365,1,0.995,0.91647,0.36637,0.88567,0.87258,3.98e-05,3.98e-05,3.98e-05
